_type,_id,_revision,_page.next,kodas,vietovardis_pilnas_nekirciuotas,vietovardis,linksniai,vietovardzio_rusis,vietovardis_vertimas,kirciuote,adm_teritorinis_priklausymas,statusas,kitas_statusas,kiti_variantai,papildoma_informacija,susije_vietovardziai
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,bfe401c3-fc3e-4771-a28e-9accae1ef5e7,55bdc7bd-473e-4472-bdb6-a659b905be4f,,1602620,Juodis,Júodis,,ežeras,,1,"Panevėžio rajonas, Panevėžioapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,01684d93-a917-4db0-8d9a-70db2c501d69,c9ad68db-7b9d-4be3-b82b-1fffaeb39881,,1602630,Juodis,Júodis,,ežeras,,1,"Prienų rajonas, Kaunoapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,2759e9a2-8803-48b2-8a13-cbfde0dfb843,d89ad48b-23cc-4daf-8940-efa32a57738b,,1602640,Juodis,Júodis,,ežeras,,1,"Trakų rajonas, Vilniausapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,cef21d4b-982d-4d9f-8e6c-433448672f98,8ad417f5-432c-4cc5-8112-befdf8d72633,,1602650,Juodis,Júodis,,ežeras,,1,"Vilniaus rajonas, Vilniausapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,40908b1c-c717-424d-9a42-ae5f51eb2e7a,e9b7e873-552f-4a2e-9a96-34ab46cf7c59,,1602660,Juodiškiai,Júodiškiai,,kaimas,,1,"Širvintų rajonas, Vilniausapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,014205a9-9845-45f2-bdf5-6e8d1d41dce1,84f6f8ce-99f1-4bb7-ad61-549032927992,,1602670,Juodiškis,Júodiškis,,kaimas,,1,"Švenčionių rajonas, Vilniausapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,32edaaee-e6c9-4394-9687-27343dea6b7e,836bfc9b-2693-41bc-a9e6-54c6d2934cd5,,1602680,Juodiškių pelkė (durpynas),Júodiškių pélkė (durpýnas),,pelkė,,,"Širvintų rajonas, Vilniausapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,5d0f3d2a-2849-458d-9ac8-418344bc1bb7,53c64714-fe01-4565-b2e3-fe0d88cb7ef3,,1602690,Juodkaimiai,Júodkaimiai,,kaimas,,1,"Kėdainių rajonas, Kaunoapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,bb6f119d-28f6-4ce5-baae-eae60e0b5b51,560563f0-bcac-48a2-8a59-b5bcbda47a4b,,1602700,Juodkėnai,Júodkėnai,,kaimas,,1,"Raseinių rajonas, Kaunoapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,54a75aad-b640-4e6f-b3d5-bd6e8e57fbe3,26c454fb-9610-4a8d-be9c-26371d4ece54,,1602710,Juodkrantė,Júodkrantė,,miesto dalis,,1,"Neringos savivaldybės teritorija, Klaipėdosapskritis, Lietuva",vienintelis,,,,
